2026-03-26 03:57:36 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-61dBm rsrp=-95dBm snr=4.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:58:08 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-94dBm snr=2.8dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:58:44 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-62dBm rsrp=-94dBm snr=3.8dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:59:16 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-94dBm snr=2.6dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:59:48 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-58dBm rsrp=-94dBm snr=-2.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:00:20 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-94dBm snr=4.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:00:52 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-94dBm snr=2.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:01:25 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-56dBm rsrp=-94dBm snr=-2.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:01:57 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-94dBm snr=2.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:02:29 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-95dBm snr=5.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:03:01 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-95dBm snr=2.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 04:03:36 | 4G_state=DOWN 4G_ip=214.148.253.228 4G_ping=FAIL 4G_signal=GOOD rssi=-59dBm rsrp=-95dBm snr=1.6dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:04:12 | 4G_state=DOWN 4G_ip=214.148.253.228 4G_ping=FAIL 4G_signal=GOOD rssi=-62dBm rsrp=-96dBm snr=7.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:04:57 | 4G_state=DOWN 4G_ip=214.148.253.228 4G_ping=FAIL 4G_signal=UNKNOWN rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:05:28 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:05:59 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:06:30 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:07:01 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:07:32 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:08:03 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:08:35 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:09:06 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:09:37 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:10:08 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:10:39 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:11:10 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:11:41 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:12:12 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:12:43 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:13:14 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:13:45 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:14:16 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:14:47 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:15:18 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:15:49 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:16:20 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:16:51 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:17:23 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:17:54 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:18:25 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:18:56 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:19:27 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:19:58 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:20:29 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:21:00 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:21:31 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:22:02 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:22:33 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:23:04 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:23:35 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:24:06 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:24:37 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:25:08 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:25:39 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
